divipola,nivel,departamento,municipio,dimension,indicador_id,indicador,unidad,fuente,valor,fecha_corte
27,departamental,Chocó,,Instituciones,pnud_com_cop,Costo estimado comunitario (COP),COP,PNUD,146945510139,2026-09-05
27,departamental,Chocó,,Infraestructura,pnud_infra_cop,Costo estimado infraestructura institucional (COP),COP,PNUD,483473671918,2026-09-05
27,departamental,Chocó,,Pérdidas económicas,pnud_tot_cop,Costo total estimado (COP),COP,PNUD,5413642413514,2026-09-05
27,departamental,Chocó,,Escombros,undp_rapida_debris_households_m3,Escombros de vivienda (m³),m³,UNDP-RAPIDA,1326777,2026-09-05
27,departamental,Chocó,,Escombros,undp_rapida_debris_buildings_m3,Escombros de edificaciones (m³),m³,UNDP-RAPIDA,0,2026-09-05
27,departamental,Chocó,,Escombros,undp_rapida_debris_infra_m3,Escombros de infraestructura (m³),m³,UNDP-RAPIDA,40494,2026-09-05
27,departamental,Chocó,,Escombros,undp_rapida_debris_total_m3,Escombros totales (m³),m³,UNDP-RAPIDA,1508674,2026-09-05
27,departamental,Chocó,,Pérdidas económicas,undp_rapida_econ_dmg_households_cop,Daño económico en vivienda (COP),COP,UNDP-RAPIDA,4930168741597,2026-09-05
27,departamental,Chocó,,Pérdidas económicas,undp_rapida_econ_dmg_infra_cop,Daño económico en infraestructura (COP),COP,UNDP-RAPIDA,483473671918,2026-09-05
27,departamental,Chocó,,Pérdidas económicas,undp_rapida_econ_dmg_total_cop,Daño económico total (COP),COP,UNDP-RAPIDA,5413642413514,2026-09-05
17,departamental,Caldas,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,39,2026-09-05
17,departamental,Caldas,,Salud,salud_incidencia_tasa_100k,Tasa de incidencia (Salud),Tasa x100k hab.,Calculo,3.6966824644549763,2026-09-05
17,departamental,Caldas,,Salud,salud_incidencia_idx,Incidencia (Salud),Índice 0-100,Calculo,100.0,2026-09-05
17,departamental,Caldas,,Salud,salud_severidad_promedio,Severidad promedio cruda (Salud),Peso promedio,Calculo,1.3076923076923077,2026-09-05
17,departamental,Caldas,,Salud,salud_severidad_idx,Severidad promedio (Salud),Índice 0-100,Calculo,43.58974358974359,2026-09-05
17,departamental,Caldas,,Salud,salud_idx,Salud,Índice 0-100,Calculo,71.7948717948718,2026-09-05
17,departamental,Caldas,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,59,2026-09-05
17,departamental,Caldas,,Vivienda,vivienda_incidencia_tasa_100k,Tasa de incidencia (Vivienda),Tasa x100k hab.,Calculo,5.592417061611374,2026-09-05
17,departamental,Caldas,,Vivienda,vivienda_incidencia_idx,Incidencia (Vivienda),Índice 0-100,Calculo,59.80462327110939,2026-09-05
17,departamental,Caldas,,Vivienda,vivienda_severidad_promedio,Severidad promedio cruda (Vivienda),Peso promedio,Calculo,2.2203389830508473,2026-09-05
17,departamental,Caldas,,Vivienda,vivienda_severidad_idx,Severidad promedio (Vivienda),Índice 0-100,Calculo,77.80675068810662,2026-09-05
17,departamental,Caldas,,Vivienda,vivienda_idx,Vivienda,Índice 0-100,Calculo,68.805686979608,2026-09-05
17,departamental,Caldas,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,165,2026-09-05
17,departamental,Caldas,,Instituciones,instituciones_incidencia_tasa_100k,Tasa de incidencia (Instituciones),Tasa x100k hab.,Calculo,15.639810426540285,2026-09-05
17,departamental,Caldas,,Instituciones,instituciones_incidencia_idx,Incidencia (Instituciones),Índice 0-100,Calculo,100.0,2026-09-05
17,departamental,Caldas,,Instituciones,instituciones_severidad_promedio,Severidad promedio cruda (Instituciones),Peso promedio,Calculo,1.4666666666666666,2026-09-05
17,departamental,Caldas,,Instituciones,instituciones_severidad_idx,Severidad promedio (Instituciones),Índice 0-100,Calculo,83.51851851851852,2026-09-05
17,departamental,Caldas,,Instituciones,instituciones_idx,Instituciones,Índice 0-100,Calculo,91.75925925925927,2026-09-05
17,departamental,Caldas,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,181,2026-09-05
17,departamental,Caldas,,Educación,educacion_incidencia_tasa_100k,Tasa de incidencia (Educación),Tasa x100k hab.,Calculo,17.156398104265403,2026-09-05
17,departamental,Caldas,,Educación,educacion_incidencia_idx,Incidencia (Educación),Índice 0-100,Calculo,100.0,2026-09-05
17,departamental,Caldas,,Educación,educacion_severidad_promedio,Severidad promedio cruda (Educación),Peso promedio,Calculo,1.569060773480663,2026-09-05
17,departamental,Caldas,,Educación,educacion_severidad_idx,Severidad promedio (Educación),Índice 0-100,Calculo,74.21233388084217,2026-09-05
17,departamental,Caldas,,Educación,educacion_idx,Educación,Índice 0-100,Calculo,87.10616694042108,2026-09-05
17,departamental,Caldas,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,159,2026-09-05
17,departamental,Caldas,,Productividad (proxy),econ_proxy_incidencia_tasa_100k,Tasa de incidencia (Productividad (proxy)),Tasa x100k hab.,Calculo,15.071090047393364,2026-09-05
17,departamental,Caldas,,Productividad (proxy),econ_proxy_incidencia_idx,Incidencia (Productividad (proxy)),Índice 0-100,Calculo,100.0,2026-09-05
17,departamental,Caldas,,Productividad (proxy),econ_proxy_severidad_promedio,Severidad promedio cruda (Productividad (proxy)),Peso promedio,Calculo,1.0943396226415094,2026-09-05
17,departamental,Caldas,,Productividad (proxy),econ_proxy_severidad_idx,Severidad promedio (Productividad (proxy)),Índice 0-100,Calculo,21.698113207547166,2026-09-05
17,departamental,Caldas,,Productividad (proxy),econ_proxy_idx,Productividad (proxy),Índice 0-100,Calculo,60.84905660377358,2026-09-05
17,departamental,Caldas,,Compuesto,indice_compuesto,Índice compuesto,Índice 0-100,Calculo,76.06300831558674,2026-09-05
17,departamental,Caldas,,Marco normativo,en_decreto_1171,En Decreto 1171 de 2026 (desastre nacional),Sí/No (1-0),Decreto1171,1,2026-09-05
17,departamental,Caldas,,Productividad,empresarios_afectados,Empresarios afectados (grave/crítico),Número,Camaras,1164,2026-09-05
17,departamental,Caldas,,Impacto humano,3is_fallecidos,"Fallecidos (3iS, oficial)",Número,3iS-Sheets,5.0,2026-09-05
17,departamental,Caldas,,Impacto humano,3is_heridos,"Heridos (3iS, oficial)",Número,3iS-Sheets,329.0,2026-09-05
17,departamental,Caldas,,Impacto humano,3is_desaparecidos,"Desaparecidos (3iS, oficial)",Número,3iS-Sheets,0.0,2026-09-05
17,departamental,Caldas,,Impacto humano,3is_rescatados,"Rescatados (3iS, oficial)",Número,3iS-Sheets,0.0,2026-09-05
