departamento,municipio,vivienda_ajust_idx,vivienda_ajust_raw,vivienda_ajust_fuente,salud_ajust_idx,salud_ajust_raw,salud_ajust_fuente,educacion_ajust_idx,educacion_ajust_raw,educacion_ajust_fuente,instituciones_ajust_idx,instituciones_ajust_raw,instituciones_ajust_fuente,economico_ajust_idx,economico_ajust_raw,economico_ajust_fuente,vulnerabilidad_ajust_idx,vulnerabilidad_ajust_raw,vulnerabilidad_ajust_fuente,compuesto_ajustado,n_dimensiones
Risaralda,Pereira,100.0,39108,PNUD,100.0,34,PNUD,77.1,165,PNUD,,,,,,,,,,92.4,3
Valle del Cauca,Cali,,,,29.4,10.0,3iS-Sheets,100.0,214.0,3iS-Sheets,,,,,,,,,,64.7,2
Valle del Cauca,Santiago de Cali,0.0,0,PNUD,29.4,10,PNUD,100.0,214,PNUD,,,,,,,,,,43.1,3
Chocó,Quibdó,30.4,11881,PNUD,79.4,27,PNUD,52.8,113,PNUD,1.6,11.0,3iS-Sheets,,,,,,,41.0,4
Quindío,Quimbaya,8.5,3342,PNUD,2.9,1,PNUD,13.1,28,PNUD,100.0,639.0,3iS-Sheets,,,,,,,31.1,4
Quindío,Armenia,41.2,16130,PNUD,14.7,5,PNUD,22.4,48,PNUD,30.3,194.0,3iS-Sheets,,,,,,,27.2,4
Valle del Cauca,Roldanillo,11.4,4461,PNUD,8.8,3,PNUD,10.3,22,PNUD,67.9,434.0,3iS-Sheets,,,,,,,24.6,4
Valle del Cauca,Sevilla,5.3,2084,PNUD,5.9,2,PNUD,4.7,10,PNUD,63.2,404.0,3iS-Sheets,,,,,,,19.8,4
Caldas,Manizales,29.4,11500,PNUD,29.4,10,PNUD,15.4,33,PNUD,4.5,30.0,3iS-Sheets,,,,,,,19.7,4
Valle del Cauca,Trujillo,5.0,1950,PNUD,47.1,16,PNUD,14.0,30,PNUD,11.0,71.0,3iS-Sheets,,,,,,,19.3,4
Valle del Cauca,Palmira,1.0,402,PNUD,5.9,2,PNUD,60.7,130,PNUD,3.4,23.0,3iS-Sheets,,,,,,,17.8,4
Valle del Cauca,Buenaventura,25.9,10148,PNUD,14.7,5,PNUD,16.4,35,PNUD,12.1,78.0,3iS-Sheets,,,,,,,17.3,4
Risaralda,Dosquebradas,43.0,16823,PNUD,0.0,0,PNUD,25.2,54,PNUD,0.2,2.0,3iS-Sheets,,,,,,,17.1,4
Quindío,Montenegro,9.3,3620,PNUD,8.8,3,PNUD,12.1,26,PNUD,32.0,205.0,3iS-Sheets,,,,,,,15.6,4
Valle del Cauca,Tuluá,10.2,3977,PNUD,0.0,0,PNUD,37.4,80,PNUD,11.8,76.0,3iS-Sheets,,,,,,,14.8,4
Valle del Cauca,Jamundí,5.1,1983,PNUD,2.9,1,PNUD,35.0,75,PNUD,10.0,65.0,3iS-Sheets,,,,,,,13.3,4
Valle del Cauca,La Unión,6.2,2411,PNUD,2.9,1,PNUD,6.1,13,PNUD,36.5,234.0,3iS-Sheets,,,,,,,12.9,4
Chocó,Alto Baudó,2.4,956,PNUD,11.8,4,PNUD,35.0,75,PNUD,0.5,4.0,3iS-Sheets,,,,,,,12.4,4
Valle del Cauca,Caicedonia,3.7,1460,PNUD,5.9,2,PNUD,12.1,26,PNUD,26.6,171.0,3iS-Sheets,,,,,,,12.1,4
Caldas,Riosucio,3.0,1185,PNUD,2.9,1,PNUD,38.3,82,PNUD,2.5,17.0,3iS-Sheets,,,,,,,11.7,4
Valle del Cauca,Buga,1.6,612.0,3iS-Sheets,29.4,10.0,3iS-Sheets,4.7,10.0,3iS-Sheets,8.6,56.0,3iS-Sheets,,,,,,,11.1,4
Valle del Cauca,Cartago,1.6,608,PNUD,8.8,3,PNUD,9.8,21,PNUD,23.0,148.0,3iS-Sheets,,,,,,,10.8,4
Valle del Cauca,Restrepo,4.0,1559,PNUD,5.9,2,PNUD,14.5,31,PNUD,17.4,112.0,3iS-Sheets,,,,,,,10.4,4
Chocó,Tadó,10.3,4016,PNUD,14.7,5,PNUD,5.6,12,PNUD,,,,,,,,,,10.2,3
Valle del Cauca,Bolívar,3.1,1205,PNUD,5.9,2,PNUD,2.3,5,PNUD,27.7,178.0,3iS-Sheets,,,,,,,9.8,4
Quindío,Filandia,3.3,1304,PNUD,5.9,2,PNUD,7.9,17,PNUD,20.7,133.0,3iS-Sheets,,,,,,,9.5,4
Quindío,Calarcá,10.7,4188,PNUD,8.8,3,PNUD,4.7,10,PNUD,13.2,85.0,3iS-Sheets,,,,,,,9.3,4
Risaralda,Pueblo Rico,2.5,959,PNUD,0.0,0,PNUD,22.9,49,PNUD,,,,,,,,,,8.4,3
Chocó,Atrato,1.9,741,PNUD,26.5,9,PNUD,3.7,8,PNUD,0.9,7.0,3iS-Sheets,,,,,,,8.3,4
Caldas,Pensilvania,0.5,193,PNUD,8.8,3,PNUD,22.4,48,PNUD,0.6,5.0,3iS-Sheets,,,,,,,8.1,4
Valle del Cauca,El Dovio,2.4,957,PNUD,2.9,1,PNUD,5.6,12,PNUD,21.3,137.0,3iS-Sheets,,,,,,,8.1,4
Valle del Cauca,Alcalá,2.9,1128,PNUD,0.0,0,PNUD,11.7,25,PNUD,17.1,110.0,3iS-Sheets,,,,,,,7.9,4
Cauca,Caldono,1.7,662,PNUD,2.9,1,PNUD,18.7,40,PNUD,,,,,,,,,,7.8,3
Valle del Cauca,La Cumbre,3.4,1314,PNUD,11.8,4,PNUD,10.7,23,PNUD,4.5,30.0,3iS-Sheets,,,,,,,7.6,4
Caldas,Anserma,2.7,1053,PNUD,2.9,1,PNUD,13.1,28,PNUD,11.3,73.0,3iS-Sheets,,,,,,,7.5,4
Valle del Cauca,Anserma Nuevo,3.6,1407.0,3iS-Sheets,2.9,1.0,3iS-Sheets,15.9,34.0,3iS-Sheets,7.5,49.0,3iS-Sheets,,,,,,,7.5,4
Valle del Cauca,Yotoco,2.3,904,PNUD,8.8,3,PNUD,10.7,23,PNUD,7.7,50.0,3iS-Sheets,,,,,,,7.4,4
Valle del Cauca,Calima (Darién),3.3,1292.0,3iS-Sheets,2.9,1.0,3iS-Sheets,9.3,20.0,3iS-Sheets,13.3,86.0,3iS-Sheets,,,,,,,7.2,4
Antioquia,Girardota,0.1,37,PNUD,2.9,1,PNUD,18.2,39,PNUD,,,,,,,,,,7.1,3
Quindío,La Tebaida,2.7,1051,PNUD,2.9,1,PNUD,6.5,14,PNUD,16.3,105.0,3iS-Sheets,,,,,,,7.1,4
Chocó,Litoral de San Juan,2.3,904.0,3iS-Sheets,11.8,4.0,3iS-Sheets,,,,,,,,,,,,,7.0,2
Quindío,Salento,1.2,486,PNUD,2.9,1,PNUD,4.7,10,PNUD,19.0,122.0,3iS-Sheets,,,,,,,7.0,4
Valle del Cauca,Guadalajara de Buga,1.6,612,PNUD,14.7,5,PNUD,4.7,10,PNUD,,,,,,,,,,7.0,3
Valle del Cauca,Yumbo,1.8,704,PNUD,0.0,0,PNUD,20.6,44,PNUD,5.6,37.0,3iS-Sheets,,,,,,,7.0,4
Cauca,Silvia,1.2,481,PNUD,14.7,5,PNUD,4.7,10,PNUD,,,,,,,,,,6.9,3
Chocó,Nuevo Belén de Bajirá,0.0,11,PNUD,17.6,6,PNUD,2.8,6,PNUD,,,,,,,,,,6.8,3
Valle del Cauca,Dagua,3.1,1210,PNUD,2.9,1,PNUD,6.1,13,PNUD,15.2,98.0,3iS-Sheets,,,,,,,6.8,4
Antioquia,Andes,0.5,180,PNUD,2.9,1,PNUD,16.8,36,PNUD,,,,,,,,,,6.7,3
Valle del Cauca,Andalucía,2.1,818,PNUD,2.9,1,PNUD,9.8,21,PNUD,12.1,78.0,3iS-Sheets,,,,,,,6.7,4
Chocó,Acandí,0.4,160,PNUD,17.6,6,PNUD,0.9,2,PNUD,,,,,,,,,,6.3,3
Chocó,Medio Baudó,5.6,2181,PNUD,11.8,4,PNUD,4.2,9,PNUD,3.1,21.0,3iS-Sheets,,,,,,,6.2,4
Valle del Cauca,Zarzal,3.0,1175,PNUD,5.9,2,PNUD,5.6,12,PNUD,9.1,59.0,3iS-Sheets,,,,,,,5.9,4
Valle del Cauca,Argelia,2.8,1100,PNUD,8.8,3,PNUD,0.9,2,PNUD,10.8,70.0,3iS-Sheets,,,,,,,5.8,4
Valle del Cauca,Florida,0.4,165,PNUD,0.0,0,PNUD,20.1,43,PNUD,2.7,18.0,3iS-Sheets,,,,,,,5.8,4
Quindío,Circasia,2.2,863,PNUD,2.9,1,PNUD,3.3,7,PNUD,14.6,94.0,3iS-Sheets,,,,,,,5.7,4
Valle del Cauca,Toro,4.5,1769,PNUD,2.9,1,PNUD,4.2,9,PNUD,11.3,73.0,3iS-Sheets,,,,,,,5.7,4
Caldas,Samaná,0.4,155,PNUD,2.9,1,PNUD,17.8,38,PNUD,1.1,8.0,3iS-Sheets,,,,,,,5.5,4
Valle del Cauca,Obando,1.5,592,PNUD,11.8,4,PNUD,6.1,13,PNUD,2.5,17.0,3iS-Sheets,,,,,,,5.5,4
Risaralda,Quinchía,1.2,472,PNUD,0.0,0,PNUD,20.1,43,PNUD,0.3,3.0,3iS-Sheets,,,,,,,5.4,4
Caldas,Aránzazu,1.2,451.0,3iS-Sheets,,,,14.0,30.0,3iS-Sheets,0.2,2.0,3iS-Sheets,,,,,,,5.1,3
Chocó,Bagadó,5.1,2005,PNUD,8.8,3,PNUD,2.8,6,PNUD,3.8,25.0,3iS-Sheets,,,,,,,5.1,4
Valle del Cauca,Calima,3.0,1158,PNUD,2.9,1,PNUD,9.3,20,PNUD,,,,,,,,,,5.1,3
Cauca,Popayán,0.2,79,PNUD,11.8,4,PNUD,2.8,6,PNUD,,,,,,,,,,4.9,3
Cauca,Santander de Quilichao,0.9,366,PNUD,5.9,2,PNUD,7.9,17,PNUD,,,,,,,,,,4.9,3
Valle del Cauca,Ansermanuevo,3.1,1202,PNUD,2.9,1,PNUD,8.4,18,PNUD,,,,,,,,,,4.8,3
Chocó,El Litoral del San Juan,2.3,904,PNUD,11.8,4,PNUD,0.0,0,PNUD,,,,,,,,,,4.7,3
Chocó,Río Quito,0.9,360,PNUD,14.7,5,PNUD,2.3,5,PNUD,0.2,2.0,3iS-Sheets,,,,,,,4.5,4
Cauca,Buenos Aires,1.0,399,PNUD,2.9,1,PNUD,9.3,20,PNUD,,,,,,,,,,4.4,3
Valle del Cauca,Candelaria,0.4,143,PNUD,11.8,4,PNUD,2.3,5,PNUD,3.0,20.0,3iS-Sheets,,,,,,,4.4,4
Valle del Cauca,El Águila,2.4,923,PNUD,2.9,1,PNUD,8.4,18,PNUD,3.9,26.0,3iS-Sheets,,,,,,,4.4,4
Valle del Cauca,Versalles,2.9,1147,PNUD,2.9,1,PNUD,3.3,7,PNUD,8.0,52.0,3iS-Sheets,,,,,,,4.3,4
Risaralda,Mistrató,1.1,435,PNUD,8.8,3,PNUD,7.0,15,PNUD,0.0,1.0,3iS-Sheets,,,,,,,4.2,4
Antioquia,Rionegro,0.0,0,PNUD,2.9,1,PNUD,8.4,18,PNUD,,,,,,,,,,3.8,3
Chocó,Sipí,1.8,720,PNUD,5.9,2,PNUD,5.6,12,PNUD,2.0,14.0,3iS-Sheets,,,,,,,3.8,4
Quindío,Génova,3.6,1412,PNUD,0.0,0,PNUD,7.9,17,PNUD,3.8,25.0,3iS-Sheets,,,,,,,3.8,4
Valle del Cauca,El Cerrito,0.4,149,PNUD,5.9,2,PNUD,4.2,9,PNUD,4.5,30.0,3iS-Sheets,,,,,,,3.8,4
Valle del Cauca,La Victoria,3.0,1156,PNUD,2.9,1,PNUD,2.8,6,PNUD,6.4,42.0,3iS-Sheets,,,,,,,3.8,4
Caldas,Risaralda,0.9,341,PNUD,0.0,0,PNUD,13.6,29,PNUD,0.3,3.0,3iS-Sheets,,,,,,,3.7,4
Chocó,Medio San Juan,0.4,155,PNUD,8.8,3,PNUD,4.2,9,PNUD,1.6,11.0,3iS-Sheets,,,,,,,3.7,4
Tolima,Guamo,0.1,28,PNUD,2.9,1,PNUD,7.9,17,PNUD,,,,,,,,,,3.7,3
Valle del Cauca,El Cairo,2.8,1090,PNUD,0.0,0,PNUD,0.9,2,PNUD,11.1,72.0,3iS-Sheets,,,,,,,3.7,4
Caldas,Aguadas,1.4,550,PNUD,0.0,0,PNUD,12.1,26,PNUD,0.9,7.0,3iS-Sheets,,,,,,,3.6,4
Cauca,Inzá,0.0,7,PNUD,0.0,0,PNUD,10.7,23,PNUD,,,,,,,,,,3.6,3
Risaralda,Belén de Umbría,2.8,1085,PNUD,2.9,1,PNUD,6.5,14,PNUD,2.0,14.0,3iS-Sheets,,,,,,,3.6,4
Risaralda,Santa Rosa de Cabal,11.3,4425,PNUD,2.9,1,PNUD,0.0,0,PNUD,0.0,1.0,3iS-Sheets,,,,,,,3.6,4
Antioquia,Abejorral,0.7,270,PNUD,0.0,0,PNUD,9.8,21,PNUD,,,,,,,,,,3.5,3
Caldas,Aranzazu,1.1,414,PNUD,0.0,0,PNUD,9.3,20,PNUD,,,,,,,,,,3.5,3
Valle del Cauca,Guacarí,0.6,222,PNUD,5.9,2,PNUD,1.9,4,PNUD,5.8,38.0,3iS-Sheets,,,,,,,3.5,4
Valle del Cauca,San Pedro,0.5,200,PNUD,0.0,0,PNUD,0.5,1,PNUD,13.2,85.0,3iS-Sheets,,,,,,,3.5,4
Caldas,Salamina,0.9,358,PNUD,0.0,0,PNUD,12.1,26,PNUD,0.5,4.0,3iS-Sheets,,,,,,,3.4,4
Cauca,Jambaló,0.6,234,PNUD,5.9,2,PNUD,3.3,7,PNUD,,,,,,,,,,3.3,3
Nariño,La Cruz,0.0,15,PNUD,5.9,2,PNUD,3.7,8,PNUD,,,,,,,,,,3.2,3
Chocó,Nuquí,0.0,16,PNUD,11.8,4,PNUD,0.5,1,PNUD,0.0,1.0,3iS-Sheets,,,,,,,3.1,4
Tolima,Ortega,0.4,148,PNUD,0.0,0,PNUD,8.9,19,PNUD,,,,,,,,,,3.1,3
Antioquia,Fredonia,0.0,19,PNUD,2.9,1,PNUD,6.1,13,PNUD,,,,,,,,,,3.0,3
Antioquia,Salgar,0.0,14,PNUD,2.9,1,PNUD,6.1,13,PNUD,,,,,,,,,,3.0,3
Chocó,Nóvita,5.1,2000,PNUD,2.9,1,PNUD,2.3,5,PNUD,1.4,10.0,3iS-Sheets,,,,,,,3.0,4
Huila,Algeciras,0.1,37,PNUD,2.9,1,PNUD,6.1,13,PNUD,,,,,,,,,,3.0,3
Tolima,Fresno,0.0,13,PNUD,0.0,0,PNUD,8.9,19,PNUD,,,,,,,,,,3.0,3
Antioquia,Ciudad Bolívar,0.7,273,PNUD,0.0,0,PNUD,7.9,17,PNUD,,,,,,,,,,2.9,3
Cauca,Sotará - Paispamba,0.2,72,PNUD,2.9,1,PNUD,5.6,12,PNUD,,,,,,,,,,2.9,3
Valle del Cauca,Bugalagrande,2.6,1002,PNUD,2.9,1,PNUD,3.3,7,PNUD,,,,,,,,,,2.9,3
Cauca,Cajibío,2.0,775,PNUD,0.0,0,PNUD,6.5,14,PNUD,,,,,,,,,,2.8,3
Chocó,Istmina,2.1,840,PNUD,2.9,1,PNUD,3.3,7,PNUD,,,,,,,,,,2.8,3
Sucre,Sincelejo,0.0,16,PNUD,0.0,0,PNUD,8.4,18,PNUD,,,,,,,,,,2.8,3
Valle del Cauca,Riofrío,2.8,1080,PNUD,2.9,1,PNUD,3.3,7,PNUD,2.0,14.0,3iS-Sheets,,,,,,,2.8,4
Quindío,Buenavista,1.3,526,PNUD,0.0,0,PNUD,6.1,13,PNUD,3.4,23.0,3iS-Sheets,,,,,,,2.7,4
Caldas,Filadelfia,0.3,132,PNUD,2.9,1,PNUD,6.5,14,PNUD,0.5,4.0,3iS-Sheets,,,,,,,2.6,4
Cauca,Mercaderes,0.2,74,PNUD,2.9,1,PNUD,4.7,10,PNUD,,,,,,,,,,2.6,3
Huila,Tarqui,0.0,1,PNUD,0.0,0,PNUD,7.9,17,PNUD,,,,,,,,,,2.6,3
Risaralda,Marsella,3.1,1197,PNUD,2.9,1,PNUD,4.2,9,PNUD,0.2,2.0,3iS-Sheets,,,,,,,2.6,4
Antioquia,Betania,0.5,189,PNUD,2.9,1,PNUD,4.2,9,PNUD,,,,,,,,,,2.5,3
Antioquia,Concordia,0.1,53,PNUD,0.0,0,PNUD,7.5,16,PNUD,,,,,,,,,,2.5,3
Antioquia,Támesis,0.4,150,PNUD,2.9,1,PNUD,4.2,9,PNUD,,,,,,,,,,2.5,3
Quindío,Córdoba,1.1,415,PNUD,2.9,1,PNUD,2.3,5,PNUD,3.8,25.0,3iS-Sheets,,,,,,,2.5,4
Antioquia,El Carmen de Viboral,0.0,15,PNUD,2.9,1,PNUD,4.2,9,PNUD,,,,,,,,,,2.4,3
Cauca,Piendamó - Tunía,0.2,73,PNUD,0.0,0,PNUD,7.0,15,PNUD,,,,,,,,,,2.4,3
Risaralda,Guática,1.3,510,PNUD,2.9,1,PNUD,5.1,11,PNUD,0.2,2.0,3iS-Sheets,,,,,,,2.4,4
Antioquia,San Luis,0.1,37,PNUD,2.9,1,PNUD,3.7,8,PNUD,,,,,,,,,,2.3,3
Caquetá,Valparaíso,0.0,0,PNUD,5.9,2,PNUD,0.9,2,PNUD,,,,,,,,,,2.3,3
Chocó,Bajo Baudó,3.5,1363,PNUD,2.9,1,PNUD,0.5,1,PNUD,,,,,,,,,,2.3,3
Valle del Cauca,Ulloa,0.8,318,PNUD,2.9,1,PNUD,1.4,3,PNUD,3.9,26.0,3iS-Sheets,,,,,,,2.3,4
Antioquia,Sopetrán,0.0,5,PNUD,2.9,1,PNUD,3.7,8,PNUD,,,,,,,,,,2.2,3
Caldas,Neira,0.2,72,PNUD,2.9,1,PNUD,5.6,12,PNUD,0.2,2.0,3iS-Sheets,,,,,,,2.2,4
Caquetá,San Vicente del Caguán,0.0,18,PNUD,2.9,1,PNUD,3.7,8,PNUD,,,,,,,,,,2.2,3
Cauca,Bolívar,0.1,54,PNUD,0.0,0,PNUD,6.5,14,PNUD,,,,,,,,,,2.2,3
Cauca,Morales,0.5,183,PNUD,0.0,0,PNUD,6.1,13,PNUD,,,,,,,,,,2.2,3
Cauca,Suárez,0.5,209,PNUD,0.0,0,PNUD,6.1,13,PNUD,,,,,,,,,,2.2,3
Cauca,Toribío,0.4,160,PNUD,0.0,0,PNUD,6.1,13,PNUD,,,,,,,,,,2.2,3
Chocó,Carmen de Atrato,0.0,17.0,3iS-Sheets,2.9,1.0,3iS-Sheets,2.3,5.0,3iS-Sheets,3.3,22.0,3iS-Sheets,,,,,,,2.2,4
Valle del Cauca,Ginebra,0.1,24,PNUD,2.9,1,PNUD,3.3,7,PNUD,2.5,17.0,3iS-Sheets,,,,,,,2.2,4
Valle del Cauca,Pradera,0.2,92,PNUD,2.9,1,PNUD,2.3,5,PNUD,3.1,21.0,3iS-Sheets,,,,,,,2.2,4
Antioquia,Nariño,0.1,55,PNUD,2.9,1,PNUD,3.3,7,PNUD,,,,,,,,,,2.1,3
Antioquia,Santa Bárbara,0.2,90,PNUD,2.9,1,PNUD,3.3,7,PNUD,,,,,,,,,,2.1,3
Caldas,Marquetalia,0.0,15,PNUD,0.0,0,PNUD,8.4,18,PNUD,0.0,1.0,3iS-Sheets,,,,,,,2.1,4
Cauca,Patía,0.2,66,PNUD,2.9,1,PNUD,3.3,7,PNUD,,,,,,,,,,2.1,3
Chocó,Unión Panamericana,1.7,668,PNUD,2.9,1,PNUD,1.9,4,PNUD,1.9,13.0,3iS-Sheets,,,,,,,2.1,4
Antioquia,Jardín,0.3,136,PNUD,2.9,1,PNUD,2.8,6,PNUD,,,,,,,,,,2.0,3
Antioquia,Medellín,0.0,0,PNUD,5.9,2,PNUD,0.0,0,PNUD,,,,,,,,,,2.0,3
Bolívar,San Fernando,0.0,0,PNUD,5.9,2,PNUD,0.0,0,PNUD,,,,,,,,,,2.0,3
Caldas,Belalcázar,1.7,675,PNUD,0.0,0,PNUD,5.6,12,PNUD,0.8,6.0,3iS-Sheets,,,,,,,2.0,4
Caldas,La Merced,0.2,63,PNUD,2.9,1,PNUD,4.7,10,PNUD,0.2,2.0,3iS-Sheets,,,,,,,2.0,4
Cauca,Caloto,0.8,322,PNUD,0.0,0,PNUD,5.1,11,PNUD,,,,,,,,,,2.0,3
Huila,Colombia,0.1,53,PNUD,2.9,1,PNUD,2.8,6,PNUD,,,,,,,,,,2.0,3
Antioquia,Montebello,0.0,18,PNUD,2.9,1,PNUD,2.8,6,PNUD,,,,,,,,,,1.9,3
Caldas,Norcasia,0.1,20,PNUD,0.0,0,PNUD,7.5,16,PNUD,0.0,1.0,3iS-Sheets,,,,,,,1.9,4
Caquetá,El Paujíl,0.0,0,PNUD,2.9,1,PNUD,2.8,6,PNUD,,,,,,,,,,1.9,3
Chocó,Condoto,1.5,600,PNUD,2.9,1,PNUD,2.8,6,PNUD,0.5,4.0,3iS-Sheets,,,,,,,1.9,4
Risaralda,Santuario,1.6,632,PNUD,2.9,1,PNUD,2.3,5,PNUD,0.6,5.0,3iS-Sheets,,,,,,,1.9,4
Tolima,Ataco,0.4,152,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.9,3
Tolima,Prado,0.1,40,PNUD,2.9,1,PNUD,2.8,6,PNUD,,,,,,,,,,1.9,3
Antioquia,Argelia,0.3,124,PNUD,0.0,0,PNUD,5.1,11,PNUD,,,,,,,,,,1.8,3
Antioquia,Ituango,0.0,7,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Antioquia,Tarso,0.1,42,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Antioquia,Valparaíso,0.0,15,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Caquetá,Puerto Rico,0.0,0,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Cauca,Timbío,0.9,340,PNUD,0.0,0,PNUD,4.7,10,PNUD,,,,,,,,,,1.8,3
Chocó,El Carmen de Atrato,0.0,17,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Cundinamarca,Fúquene,0.1,37,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Huila,Garzón,0.0,4,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Huila,Gigante,0.0,0,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Huila,Tello,0.2,90,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Risaralda,Balboa,1.9,735,PNUD,2.9,1,PNUD,2.3,5,PNUD,0.2,2.0,3iS-Sheets,,,,,,,1.8,4
Risaralda,La Virginia,1.8,705,PNUD,2.9,1,PNUD,2.3,5,PNUD,0.0,1.0,3iS-Sheets,,,,,,,1.8,4
Tolima,Villahermosa,0.0,0,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Tolima,Villarrica,0.0,2,PNUD,2.9,1,PNUD,2.3,5,PNUD,,,,,,,,,,1.8,3
Antioquia,Santo Domingo,0.1,20,PNUD,0.0,0,PNUD,5.1,11,PNUD,,,,,,,,,,1.7,3
Caldas,Chinchiná,1.4,540,PNUD,2.9,1,PNUD,1.9,4,PNUD,0.6,5.0,3iS-Sheets,,,,,,,1.7,4
Caldas,San José,1.3,490,PNUD,2.9,1,PNUD,1.9,4,PNUD,0.6,5.0,3iS-Sheets,,,,,,,1.7,4
Caldas,Viterbo,1.0,387,PNUD,2.9,1,PNUD,2.3,5,PNUD,0.5,4.0,3iS-Sheets,,,,,,,1.7,4
Valle del Cauca,Vijes,0.6,251,PNUD,0.0,0,PNUD,0.9,2,PNUD,5.3,35.0,3iS-Sheets,,,,,,,1.7,4
Antioquia,San Pedro de Urabá,0.0,0,PNUD,2.9,1,PNUD,1.9,4,PNUD,,,,,,,,,,1.6,3
Antioquia,Santa Fé de Antioquia,0.1,38,PNUD,0.0,0,PNUD,4.7,10,PNUD,,,,,,,,,,1.6,3
Antioquia,Sonsón,0.6,220,PNUD,0.0,0,PNUD,4.2,9,PNUD,,,,,,,,,,1.6,3
Antioquia,Venecia,0.1,35,PNUD,2.9,1,PNUD,1.9,4,PNUD,,,,,,,,,,1.6,3
Antioquia,Vigía del Fuerte,0.1,31,PNUD,0.0,0,PNUD,4.7,10,PNUD,,,,,,,,,,1.6,3
Caldas,Marmato,0.2,96,PNUD,2.9,1,PNUD,2.8,6,PNUD,0.3,3.0,3iS-Sheets,,,,,,,1.6,4
Caldas,Pácora,0.4,156,PNUD,0.0,0,PNUD,5.6,12,PNUD,0.5,4.0,3iS-Sheets,,,,,,,1.6,4
Caquetá,Solita,0.0,0,PNUD,2.9,1,PNUD,1.9,4,PNUD,,,,,,,,,,1.6,3
Risaralda,Apía,2.0,798,PNUD,0.0,0,PNUD,4.2,9,PNUD,0.3,3.0,3iS-Sheets,,,,,,,1.6,4
Tolima,Armero,0.0,6,PNUD,2.9,1,PNUD,1.9,4,PNUD,,,,,,,,,,1.6,3
Antioquia,Pueblorrico,0.1,36,PNUD,2.9,1,PNUD,1.4,3,PNUD,,,,,,,,,,1.5,3
Antioquia,Puerto Nare,0.1,32,PNUD,2.9,1,PNUD,1.4,3,PNUD,,,,,,,,,,1.5,3
Caldas,Palestina,0.7,275,PNUD,0.0,0,PNUD,4.2,9,PNUD,1.3,9.0,3iS-Sheets,,,,,,,1.5,4
Caldas,Victoria,0.2,88,PNUD,2.9,1,PNUD,2.3,5,PNUD,0.5,4.0,3iS-Sheets,,,,,,,1.5,4
Chocó,Medio Atrato,0.6,250,PNUD,0.0,0,PNUD,3.7,8,PNUD,,,,,,,,,,1.5,3
Chocó,San José del Palmar,1.3,525.0,3iS-Sheets,2.9,1.0,3iS-Sheets,,,,0.3,3.0,3iS-Sheets,,,,,,,1.5,3
Huila,Baraya,0.2,74,PNUD,2.9,1,PNUD,1.4,3,PNUD,,,,,,,,,,1.5,3
Huila,Elías,0.1,22,PNUD,2.9,1,PNUD,1.4,3,PNUD,,,,,,,,,,1.5,3
Huila,Paicol,0.0,8,PNUD,2.9,1,PNUD,1.4,3,PNUD,,,,,,,,,,1.5,3
Tolima,Alpujarra,0.0,19,PNUD,2.9,1,PNUD,1.4,3,PNUD,,,,,,,,,,1.5,3
Tolima,Carmen de Apicalá,0.0,18,PNUD,2.9,1,PNUD,1.4,3,PNUD,,,,,,,,,,1.5,3
Antioquia,Cañasgordas,0.0,0,PNUD,2.9,1,PNUD,1.4,3,PNUD,,,,,,,,,,1.4,3
Antioquia,Granada,0.1,21,PNUD,0.0,0,PNUD,4.2,9,PNUD,,,,,,,,,,1.4,3
Antioquia,Peñol,0.1,35,PNUD,0.0,0,PNUD,4.2,9,PNUD,,,,,,,,,,1.4,3
Caquetá,El Doncello,0.0,0,PNUD,2.9,1,PNUD,1.4,3,PNUD,,,,,,,,,,1.4,3
Cauca,Balboa,0.4,172,PNUD,0.0,0,PNUD,3.7,8,PNUD,,,,,,,,,,1.4,3
Cauca,El Tambo,0.8,318,PNUD,0.0,0,PNUD,3.3,7,PNUD,,,,,,,,,,1.4,3
Chocó,San José del palmar,1.3,525,PNUD,2.9,1,PNUD,0.0,0,PNUD,,,,,,,,,,1.4,3
Antioquia,Alejandría,0.1,29,PNUD,0.0,0,PNUD,3.7,8,PNUD,,,,,,,,,,1.3,3
Antioquia,Angelópolis,0.0,9,PNUD,2.9,1,PNUD,0.9,2,PNUD,,,,,,,,,,1.3,3
Antioquia,Barbosa,0.1,42,PNUD,0.0,0,PNUD,3.7,8,PNUD,,,,,,,,,,1.3,3
