nivel,departamento,municipio,dimension,indicador_id,indicador,unidad,fuente,valor
departamental,Caldas,,Marco normativo,en_decreto_1171,En Decreto 1171 de 2026 (desastre nacional),Sí/No (1-0),Decreto1171,1
departamental,Caldas,,Productividad,empresarios_afectados,Empresarios afectados (grave/crítico),Número,Camaras,1164
departamental,Caldas,,Impacto humano,3is_fallecidos,"Fallecidos (3iS, oficial)",Número,3iS-Sheets,5.0
departamental,Caldas,,Impacto humano,3is_heridos,"Heridos (3iS, oficial)",Número,3iS-Sheets,329.0
departamental,Caldas,,Impacto humano,3is_desaparecidos,"Desaparecidos (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Caldas,,Impacto humano,3is_rescatados,"Rescatados (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Caldas,,Impacto humano,3is_familias,"Familias afectadas (3iS, oficial)",Número,3iS-Sheets,11760.0
departamental,Caldas,,Vivienda,3is_vivaveriadas,"Viviendas averiadas (3iS, oficial)",Número,3iS-Sheets,17177.0
departamental,Caldas,,Vivienda,3is_vivdestruidas,"Viviendas destruidas (3iS, oficial)",Número,3iS-Sheets,2348.0
departamental,Caldas,,Vivienda,3is_colapsos,"Colapsos (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Caldas,,Salud,3is_salud,"Puntos de salud afectados (3iS, oficial)",Número,3iS-Sheets,25.0
departamental,Caldas,,Educación,3is_educativos,"Puntos educativos afectados (3iS, oficial)",Número,3iS-Sheets,477.0
departamental,Caldas,,Instituciones,3is_comunitarios,"Puntos comunitarios afectados (3iS, oficial)",Número,3iS-Sheets,62.0
departamental,Caldas,,Infraestructura,3is_vias,"Vías afectadas (3iS, oficial)",Número,3iS-Sheets,16.0
departamental,Caldas,,Infraestructura,3is_aeropuertos,"Aeropuertos afectados (3iS, oficial)",Número,3iS-Sheets,1.0
departamental,Caldas,,Infraestructura,3is_acueductos,"Acueductos afectados (3iS, oficial)",Número,3iS-Sheets,25.0
departamental,Caldas,,Vivienda,pnud_vd,Viviendas destruidas,Número,PNUD,2348
departamental,Caldas,,Vivienda,pnud_va,Viviendas averiadas,Número,PNUD,17177
departamental,Caldas,,Salud,pnud_csalud,Centros de salud afectados,Número,PNUD,25
departamental,Caldas,,Educación,pnud_cedu,Centros educativos afectados,Número,PNUD,477
departamental,Caldas,,Instituciones,pnud_ccom,Centros comunitarios afectados,Número,PNUD,49
departamental,Caldas,,Vivienda,pnud_vivt_cop,Costo estimado vivienda (COP),COP,PNUD,3633312192934
departamental,Caldas,,Salud,pnud_salud_cop,Costo estimado salud (COP),COP,PNUD,12064409457
departamental,Caldas,,Educación,pnud_edu_cop,Costo estimado educación (COP),COP,PNUD,244216162366
departamental,Caldas,,Instituciones,pnud_com_cop,Costo estimado comunitario (COP),COP,PNUD,54246325026
departamental,Caldas,,Infraestructura,pnud_infra_cop,Costo estimado infraestructura institucional (COP),COP,PNUD,310526896850
departamental,Caldas,,Pérdidas económicas,pnud_tot_cop,Costo total estimado (COP),COP,PNUD,3943839089783
departamental,Caldas,,Escombros,undp_rapida_debris_households_m3,Escombros de vivienda (m³),m³,UNDP-RAPIDA,717230
departamental,Caldas,,Escombros,undp_rapida_debris_buildings_m3,Escombros de edificaciones (m³),m³,UNDP-RAPIDA,0
departamental,Caldas,,Escombros,undp_rapida_debris_infra_m3,Escombros de infraestructura (m³),m³,UNDP-RAPIDA,13052
departamental,Caldas,,Escombros,undp_rapida_debris_total_m3,Escombros totales (m³),m³,UNDP-RAPIDA,913085
departamental,Caldas,,Pérdidas económicas,undp_rapida_econ_dmg_households_cop,Daño económico en vivienda (COP),COP,UNDP-RAPIDA,3633312192934
departamental,Caldas,,Pérdidas económicas,undp_rapida_econ_dmg_infra_cop,Daño económico en infraestructura (COP),COP,UNDP-RAPIDA,310526896850
departamental,Caldas,,Pérdidas económicas,undp_rapida_econ_dmg_total_cop,Daño económico total (COP),COP,UNDP-RAPIDA,3943839089783
departamental,Risaralda,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,25
departamental,Risaralda,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,35
departamental,Risaralda,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,103
departamental,Risaralda,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,35
departamental,Risaralda,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,109
departamental,Risaralda,,Marco normativo,en_decreto_1171,En Decreto 1171 de 2026 (desastre nacional),Sí/No (1-0),Decreto1171,1
departamental,Risaralda,,Productividad,empresarios_afectados,Empresarios afectados (grave/crítico),Número,Camaras,7035
departamental,Risaralda,,Impacto humano,3is_fallecidos,"Fallecidos (3iS, oficial)",Número,3iS-Sheets,110.0
departamental,Risaralda,,Impacto humano,3is_heridos,"Heridos (3iS, oficial)",Número,3iS-Sheets,588.0
departamental,Risaralda,,Impacto humano,3is_desaparecidos,"Desaparecidos (3iS, oficial)",Número,3iS-Sheets,99.0
departamental,Risaralda,,Impacto humano,3is_rescatados,"Rescatados (3iS, oficial)",Número,3iS-Sheets,274.0
departamental,Risaralda,,Impacto humano,3is_familias,"Familias afectadas (3iS, oficial)",Número,3iS-Sheets,61821.0
departamental,Risaralda,,Vivienda,3is_vivaveriadas,"Viviendas averiadas (3iS, oficial)",Número,3iS-Sheets,56079.0
departamental,Risaralda,,Vivienda,3is_vivdestruidas,"Viviendas destruidas (3iS, oficial)",Número,3iS-Sheets,11986.0
departamental,Risaralda,,Vivienda,3is_colapsos,"Colapsos (3iS, oficial)",Número,3iS-Sheets,109.0
departamental,Risaralda,,Salud,3is_salud,"Puntos de salud afectados (3iS, oficial)",Número,3iS-Sheets,44.0
departamental,Risaralda,,Educación,3is_educativos,"Puntos educativos afectados (3iS, oficial)",Número,3iS-Sheets,389.0
departamental,Risaralda,,Instituciones,3is_comunitarios,"Puntos comunitarios afectados (3iS, oficial)",Número,3iS-Sheets,39.0
departamental,Risaralda,,Infraestructura,3is_vias,"Vías afectadas (3iS, oficial)",Número,3iS-Sheets,130.0
departamental,Risaralda,,Infraestructura,3is_aeropuertos,"Aeropuertos afectados (3iS, oficial)",Número,3iS-Sheets,1.0
departamental,Risaralda,,Infraestructura,3is_acueductos,"Acueductos afectados (3iS, oficial)",Número,3iS-Sheets,29.0
departamental,Risaralda,,Vivienda,pnud_vd,Viviendas destruidas,Número,PNUD,11986
departamental,Risaralda,,Vivienda,pnud_va,Viviendas averiadas,Número,PNUD,56079
departamental,Risaralda,,Salud,pnud_csalud,Centros de salud afectados,Número,PNUD,44
departamental,Risaralda,,Educación,pnud_cedu,Centros educativos afectados,Número,PNUD,389
departamental,Risaralda,,Instituciones,pnud_ccom,Centros comunitarios afectados,Número,PNUD,40
departamental,Risaralda,,Vivienda,pnud_vivt_cop,Costo estimado vivienda (COP),COP,PNUD,14110948480924
departamental,Risaralda,,Salud,pnud_salud_cop,Costo estimado salud (COP),COP,PNUD,25339686818
departamental,Risaralda,,Educación,pnud_edu_cop,Costo estimado educación (COP),COP,PNUD,180862139537
departamental,Risaralda,,Instituciones,pnud_com_cop,Costo estimado comunitario (COP),COP,PNUD,33219147181
departamental,Risaralda,,Infraestructura,pnud_infra_cop,Costo estimado infraestructura institucional (COP),COP,PNUD,239420973536
departamental,Risaralda,,Pérdidas económicas,pnud_tot_cop,Costo total estimado (COP),COP,PNUD,14350369454460
departamental,Risaralda,,Escombros,undp_rapida_debris_households_m3,Escombros de vivienda (m³),m³,UNDP-RAPIDA,2795261
departamental,Risaralda,,Escombros,undp_rapida_debris_buildings_m3,Escombros de edificaciones (m³),m³,UNDP-RAPIDA,4567756
departamental,Risaralda,,Escombros,undp_rapida_debris_infra_m3,Escombros de infraestructura (m³),m³,UNDP-RAPIDA,5433
departamental,Risaralda,,Escombros,undp_rapida_debris_total_m3,Escombros totales (m³),m³,UNDP-RAPIDA,7564521
departamental,Risaralda,,Pérdidas económicas,undp_rapida_econ_dmg_households_cop,Daño económico en vivienda (COP),COP,UNDP-RAPIDA,14110948480925
departamental,Risaralda,,Pérdidas económicas,undp_rapida_econ_dmg_infra_cop,Daño económico en infraestructura (COP),COP,UNDP-RAPIDA,239420973536
departamental,Risaralda,,Pérdidas económicas,undp_rapida_econ_dmg_total_cop,Daño económico total (COP),COP,UNDP-RAPIDA,14350369454460
departamental,Valle del Cauca,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,93
departamental,Valle del Cauca,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,121
departamental,Valle del Cauca,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,244
departamental,Valle del Cauca,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,80
departamental,Valle del Cauca,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,263
departamental,Valle del Cauca,,Marco normativo,en_decreto_1171,En Decreto 1171 de 2026 (desastre nacional),Sí/No (1-0),Decreto1171,1
departamental,Valle del Cauca,,Productividad,empresarios_afectados,Empresarios afectados (grave/crítico),Número,Camaras,4801
departamental,Valle del Cauca,,Impacto humano,3is_fallecidos,"Fallecidos (3iS, oficial)",Número,3iS-Sheets,199.0
departamental,Valle del Cauca,,Impacto humano,3is_heridos,"Heridos (3iS, oficial)",Número,3iS-Sheets,2890.0
departamental,Valle del Cauca,,Impacto humano,3is_desaparecidos,"Desaparecidos (3iS, oficial)",Número,3iS-Sheets,33.0
departamental,Valle del Cauca,,Impacto humano,3is_rescatados,"Rescatados (3iS, oficial)",Número,3iS-Sheets,88.0
departamental,Valle del Cauca,,Impacto humano,3is_familias,"Familias afectadas (3iS, oficial)",Número,3iS-Sheets,66405.0
departamental,Valle del Cauca,,Vivienda,3is_vivaveriadas,"Viviendas averiadas (3iS, oficial)",Número,3iS-Sheets,53169.0
departamental,Valle del Cauca,,Vivienda,3is_vivdestruidas,"Viviendas destruidas (3iS, oficial)",Número,3iS-Sheets,13051.0
departamental,Valle del Cauca,,Vivienda,3is_colapsos,"Colapsos (3iS, oficial)",Número,3iS-Sheets,422.0
departamental,Valle del Cauca,,Salud,3is_salud,"Puntos de salud afectados (3iS, oficial)",Número,3iS-Sheets,102.0
departamental,Valle del Cauca,,Educación,3is_educativos,"Puntos educativos afectados (3iS, oficial)",Número,3iS-Sheets,1390.0
departamental,Valle del Cauca,,Instituciones,3is_comunitarios,"Puntos comunitarios afectados (3iS, oficial)",Número,3iS-Sheets,3440.0
departamental,Valle del Cauca,,Infraestructura,3is_vias,"Vías afectadas (3iS, oficial)",Número,3iS-Sheets,142.0
