denominador,codigo,municipio,departamento,poblacion_2026,estimacion_experimental_condicionada_a_existencia,tiene_soporte_minimo,abstencion,ejemplos_patron,banda_error_descriptiva_inferior,banda_error_descriptiva_superior,razones,habilitado_para_indice
urgencias,15276,Floresta,Boyacá,3332,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15293,Gachantivá,Boyacá,2715,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15296,Gámeza,Boyacá,4584,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15317,Guacamayas,Boyacá,1797,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15325,Guayatá,Boyacá,3480,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15362,Iza,Boyacá,1921,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15367,Jenesano,Boyacá,7403,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15368,Jericó,Boyacá,4021,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15377,Labranzagrande,Boyacá,3772,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15380,La Capilla,Boyacá,2524,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15401,La Victoria,Boyacá,1164,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15403,La Uvita,Boyacá,2795,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15425,Macanal,Boyacá,5367,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15464,Mongua,Boyacá,4458,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15476,Motavita,Boyacá,5175,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15491,Nobsa,Boyacá,17186,1.195273952534369,true,false,125,1,1.7409102701936565,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15494,Nuevo Colón,Boyacá,5244,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15500,Oicatá,Boyacá,2941,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15511,Pachavita,Boyacá,2231,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15514,Páez,Boyacá,3353,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15518,Pajarito,Boyacá,2128,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15522,Panqueba,Boyacá,1708,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15533,Paya,Boyacá,2780,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15537,Paz de Río,Boyacá,4374,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15542,Pesca,Boyacá,7019,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15550,Pisba,Boyacá,2018,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15600,Ráquira,Boyacá,8076,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15621,Rondón,Boyacá,2455,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15632,Saboyá,Boyacá,14624,1.007940853770685,true,false,125,1,1.468060590090281,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15638,Sáchica,Boyacá,6444,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15660,San Eduardo,Boyacá,1637,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15664,San José de Pare,Boyacá,4794,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15673,San Mateo,Boyacá,3400,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15676,San Miguel de Sema,Boyacá,3081,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15681,San Pablo de Borbur,Boyacá,6778,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15686,Santana,Boyacá,7765,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15690,Santa María,Boyacá,3631,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15696,Santa Sofía,Boyacá,3363,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15720,Sativanorte,Boyacá,2030,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15723,Sativasur,Boyacá,1015,,false,true,125,,,"[""predictor_fuera_del_rango_de_entrenamiento"",""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15740,Siachoque,Boyacá,6889,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15761,Somondoco,Boyacá,2984,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15762,Sora,Boyacá,3177,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15763,Sotaquirá,Boyacá,8051,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15764,Soracá,Boyacá,6209,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15774,Susacón,Boyacá,2785,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15776,Sutamarchán,Boyacá,6345,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15778,Sutatenza,Boyacá,4219,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15790,Tasco,Boyacá,6036,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15798,Tenza,Boyacá,3573,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15804,Tibaná,Boyacá,9056,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15806,Tibasosa,Boyacá,13705,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15808,Tinjacá,Boyacá,3647,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15810,Tipacoque,Boyacá,3150,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15816,Togüí,Boyacá,4442,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
