Código DANE;Sede;Severidad;Estado físico;Matrícula total;Aporte % ETC;Sector;Zona;Primera infancia;Primaria;Secundaria;Media;Adultos;Municipio;Docentes;Directivos docentes;Secretaría;Departamento;En Decreto 1171 de 2026;Organizaciones aliadas
227077000920;SEDE SANTA TERESITA DE POMEÑO;1;Bajo;16;0.014;OFICIAL;RURAL;1;15;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227025000824;SEDE DE PUERTO MARTINEZ;1;Bajo;16;0.014;OFICIAL;RURAL;0;16;0;0;0;Alto Baudó;2;;Choco;Chocó;SI;
227745000155;SEDE DIEGO LUIS CORDOBA DE CHARCO HONDO;1;Bajo;16;0.014;OFICIAL;RURAL;4;12;0;0;0;Sipí;1;;Choco;Chocó;SI;
227077001535;SEDE CAMILO CAICEDO;2;Moderado;15;0.0132;OFICIAL;RURAL;1;14;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
227491000753;SEDE FIADO;2;Moderado;15;0.0132;OFICIAL;RURAL;0;15;0;0;0;Nóvita;1;;Choco;Chocó;SI;
227001001111;SEDE LA PALOMA;2;Moderado;15;0.0408;OFICIAL;RURAL;0;15;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227001001731;SEDE ABRAHAM PINO MORENO;1;Bajo;15;0.0132;OFICIAL;RURAL;0;10;5;0;0;Atrato;5;;Choco;Chocó;SI;
227001002907;SEDE AGUA CLARA;2;Moderado;15;0.0132;OFICIAL;RURAL;5;10;0;0;0;Medio Atrato;1;;Choco;Chocó;SI;
227077001373;SEDE FRANCISCO JOSE DE CALDAS;3;Crítico;14;0.0123;OFICIAL;RURAL;2;12;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227491000486;SEDE CHITO;3;Crítico;14;0.0123;OFICIAL;RURAL;3;11;0;0;0;Nóvita;1;;Choco;Chocó;SI;
227150000127;SEDE EL OVO;2;Moderado;14;0.0123;OFICIAL;RURAL;0;14;0;0;0;Carmen del Darién;;;Choco;Chocó;SI;
227615001532;SEDE TEGUERRE MEDIO;2;Moderado;14;0.0123;OFICIAL;RURAL;2;12;0;0;0;Riosucio;;;Choco;Chocó;SI;
227001001706;SEDE DE GUADALUPE;2;Moderado;14;0.0381;OFICIAL;RURAL;8;6;0;0;0;Quibdó;2;;Quibdó;Chocó;SI;
227001000408;SEDE DE LA COMUNIDAD;1;Bajo;14;0.0381;OFICIAL;RURAL;0;14;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227077000075;SEDE JESUS DE PUERTO GRANADO;3;Crítico;13;0.0114;OFICIAL;RURAL;2;11;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227250060038;SEDE NUESTRA SEÑORA DEL ROSARIO;3;Crítico;13;0.0114;OFICIAL;RURAL;4;9;0;0;0;El Litoral del San Juan;1;;Choco;Chocó;SI;
227150800043;SEDE MANANTIAL;2;Moderado;13;0.0114;OFICIAL;RURAL;2;11;0;0;0;Carmen del Darién;;;Choco;Chocó;SI;
227077002001;SEDE SANTA CECILIA SIERPE;2;Moderado;13;0.0114;OFICIAL;RURAL;1;12;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
227615061071;SEDE VILLA NUEVA SALAQUI;2;Moderado;13;0.0114;OFICIAL;RURAL;2;11;0;0;0;Riosucio;1;;Choco;Chocó;SI;
227001001293;CENTRO EDUCATIVO MUNGUIDO - SEDE PRINCIPAL;1;Bajo;13;0.0354;OFICIAL;RURAL;3;10;0;0;0;Quibdó;2;1;Quibdó;Chocó;SI;
227001004179;SEDE PUERTO MURILLO;1;Bajo;13;0.0354;OFICIAL;RURAL;1;12;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227001001714;SEDE DE GUARANDO;2;Moderado;12;0.0327;OFICIAL;RURAL;0;12;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227077001853;SEDE FRANCISCO MIRANDA;1;Bajo;12;0.0105;OFICIAL;RURAL;3;9;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227001001854;SEDE DIEGO LUIS CORDOBA;1;Bajo;12;0.0327;OFICIAL;RURAL;3;9;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227001003521;SEDE BOCA DE PURDU;1;Bajo;12;0.0327;OFICIAL;RURAL;2;10;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227077001624;SEDE RAMON LOZANO;3;Crítico;11;0.0097;OFICIAL;RURAL;2;9;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
427361001323;SEDE DOIDO;2;Moderado;11;0.0097;OFICIAL;RURAL;2;9;0;0;0;Istmina;1;;Choco;Chocó;SI;
227361001642;SEDE SARDINA;2;Moderado;11;0.0097;OFICIAL;RURAL;0;11;0;0;0;Medio San Juan;1;;Choco;Chocó;SI;
227205001021;SEDE EL TIGRE;2;Moderado;11;0.0097;OFICIAL;RURAL;2;9;0;0;0;Medio San Juan;1;;Choco;Chocó;SI;
227001003105;SEDE ROBERTO PARRA GARCIA;1;Bajo;11;0.0299;OFICIAL;RURAL;0;11;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227001000963;SEDE DE PACURITA;1;Bajo;11;0.0299;OFICIAL;RURAL;0;11;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227077001471;SEDE ANTONIA SANTO;3;Crítico;10;0.0088;OFICIAL;RURAL;1;9;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
227077001527;SEDE NUESTRA SEÑORA DEL CARMEN;3;Crítico;10;0.0088;OFICIAL;RURAL;0;10;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
227491000877;SEDE SIN OLVIDO;3;Crítico;10;0.0088;OFICIAL;RURAL;0;10;0;0;0;Nóvita;1;;Choco;Chocó;SI;
227025001014;SEDE BELLAVISTA DE DUBAZA;2;Moderado;10;0.0088;OFICIAL;RURAL;0;10;0;0;0;Alto Baudó;1;;Choco;Chocó;SI;
227001000718;SEDE DE GUAYABAL;2;Moderado;10;0.0272;OFICIAL;RURAL;0;10;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227615800168;SEDE EUGENIA;2;Moderado;10;0.0088;OFICIAL;RURAL;0;10;0;0;0;Nuevo Belén de Bajirá;1;;Choco;Chocó;SI;
217444000316;ESCUELA RURAL EL CHOCO;1;Bajo;10;0.0124;;RURAL;3;7;0;0;0;Marquetalia;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
227077000016;SEDE SAN FRANCISCO;3;Crítico;9;0.0079;OFICIAL;RURAL;0;9;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227491000869;SEDE PIEDRA GRANDE;3;Crítico;9;0.0079;OFICIAL;RURAL;0;9;0;0;0;Nóvita;1;;Choco;Chocó;SI;
227491000672;SEDE SAN JUAN DE IRABUBU;3;Crítico;9;0.0079;OFICIAL;RURAL;0;9;0;0;0;Nóvita;;;Choco;Chocó;SI;
227001000246;SEDE DE CURIQUIDO;2;Moderado;9;0.0245;OFICIAL;RURAL;1;8;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227491000745;SEDE REMOLINO;2;Moderado;9;0.0079;OFICIAL;RURAL;0;9;0;0;0;Nóvita;1;;Choco;Chocó;SI;
227001018188;SEDE EL MANSO;1;Bajo;9;0.0245;OFICIAL;RURAL;0;9;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227615061080;SEDE CHIPI CAÑO DE ORO;1;Bajo;9;0.0079;OFICIAL;RURAL;0;9;0;0;0;Riosucio;1;;Choco;Chocó;SI;
227615061128;SEDE CARACOLI BAJO;1;Bajo;9;0.0079;OFICIAL;RURAL;0;9;0;0;0;Riosucio;3;;Choco;Chocó;SI;
227787000112;SEDE CHACUANTE;1;Bajo;9;0.0079;OFICIAL;RURAL;1;8;0;0;0;Tadó;1;;Choco;Chocó;SI;
227615800214;SEDE EUGENIA MEDIA;3;Crítico;8;0.007;OFICIAL;RURAL;1;7;0;0;0;Nuevo Belén de Bajirá;1;;Choco;Chocó;SI;
227077002043;SEDE LAS MERCEDES;3;Crítico;8;0.007;OFICIAL;RURAL;0;8;0;0;0;Medio Baudó;;;Choco;Chocó;SI;
227077001551;SEDE SANTA ISABEL;2;Moderado;8;0.007;OFICIAL;RURAL;0;8;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
227077001985;SEDE SIMON BOLIVAR DE BAUDOCITO;2;Moderado;8;0.007;OFICIAL;RURAL;0;8;0;0;0;Medio Baudó;2;;Choco;Chocó;SI;
227491000699;SEDE MALTA;2;Moderado;8;0.007;OFICIAL;RURAL;2;6;0;0;0;Nóvita;1;;Choco;Chocó;SI;
227787000147;SEDE YERRECUY;2;Moderado;8;0.007;OFICIAL;RURAL;1;7;0;0;0;Tadó;2;;Choco;Chocó;SI;
227025000620;SEDE DE PUERTO PALACIOS;1;Bajo;8;0.007;OFICIAL;RURAL;0;8;0;0;0;Alto Baudó;;;Choco;Chocó;SI;
227615060738;SEDE PEÑITA;1;Bajo;8;0.007;OFICIAL;RURAL;1;7;0;0;0;Riosucio;2;;Choco;Chocó;SI;
227001003903;SEDE DE PUERTO ALUMA;1;Bajo;8;0.0218;OFICIAL;RURAL;1;7;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227245000388;SEDE CLARA;1;Bajo;8;0.007;OFICIAL;RURAL;1;7;0;0;0;El Carmen de Atrato;1;;Choco;Chocó;SI;
227001003059;SEDE ZABULON CORDOBA VALENCIA;1;Bajo;8;0.0218;OFICIAL;RURAL;1;7;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
205649000442;C.E.R. EL CHOCO;1;Bajo;8;0.0018;OFICIAL;RURAL;0;8;0;0;0;San Carlos;1;;Antioquia;Antioquia;;
227025001073;SEDE PUERTO ARACELIS;2;Moderado;7;0.0061;OFICIAL;RURAL;0;7;0;0;0;Alto Baudó;1;;Choco;Chocó;SI;
227250002470;SEDE LA MILAGROSA;2;Moderado;7;0.0061;OFICIAL;RURAL;0;7;0;0;0;El Litoral del San Juan;1;;Choco;Chocó;SI;
227491000451;SEDE SAN JERONIMO;2;Moderado;7;0.0061;OFICIAL;RURAL;2;5;0;0;0;Medio San Juan;2;;Choco;Chocó;SI;
227001017882;SEDE DE LA DIVISA;1;Bajo;7;0.0191;OFICIAL;RURAL;0;7;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227001800056;SEDE LA TROJE;1;Bajo;7;0.0191;OFICIAL;RURAL;0;7;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227077001501;SEDE SAN ANTONIO;1;Bajo;7;0.0061;OFICIAL;RURAL;0;7;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
127077001565;SEDE SAN MIGUEL DEL FIRME;3;Crítico;6;0.0053;OFICIAL;RURAL;0;6;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227077001951;SEDE EL RETOÑO;2;Moderado;6;0.0053;OFICIAL;RURAL;0;6;0;0;0;Medio Baudó;1;;Choco;Chocó;SI;
227491000885;SEDE IPARRA;2;Moderado;6;0.0053;OFICIAL;RURAL;2;4;0;0;0;Nóvita;;;Choco;Chocó;SI;
227413000143;SEDE LAS HAMACAS;2;Moderado;6;0.0053;OFICIAL;RURAL;1;5;0;0;0;Lloró;1;;Choco;Chocó;SI;
