Código DANE;Sede;Severidad;Estado físico;Matrícula total;Aporte % ETC;Sector;Zona;Primera infancia;Primaria;Secundaria;Media;Adultos;Municipio;Docentes;Directivos docentes;Secretaría;Departamento;En Decreto 1171 de 2026;Organizaciones aliadas
205282000301;C. E. R. EL CALVARIO;2;Moderado;13;0.003;OFICIAL;RURAL;2;11;0;0;0;Fredonia;1;;Antioquia;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia)
205467000188;C. E. R. LA MERCED;1;Bajo;13;0.003;OFICIAL;RURAL;3;10;0;0;0;Montebello;1;;Antioquia;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia)
205642000030;MORRITOS;2;Moderado;13;0.003;OFICIAL;RURAL;1;12;0;0;0;Salgar;1;;Antioquia;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia)
205667000701;MANILA;1;Bajo;13;0.003;OFICIAL;RURAL;1;12;0;0;0;San Rafael;1;;Antioquia;Antioquia;;Fundación Secretos Para Contar
205674000295;EL CORAL;2;Moderado;13;0.003;OFICIAL;RURAL;3;10;0;0;0;San Vicente Ferrer;1;;Antioquia;Antioquia;;
205674000384;SAN IGNACIO;2;Moderado;13;0.003;OFICIAL;RURAL;2;11;0;0;0;San Vicente Ferrer;1;;Antioquia;Antioquia;;
405679000004;C. E. R. URSULA;1;Bajo;13;0.003;OFICIAL;RURAL;1;12;0;0;0;Santa Bárbara;1;;Antioquia;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia)
205690000114;LA EME;2;Moderado;13;0.003;OFICIAL;RURAL;0;5;8;0;0;Santo Domingo;2;;Antioquia;Antioquia;;
205697000462;E R EL MORRO;1;Bajo;13;0.003;OFICIAL;RURAL;2;11;0;0;0;El Santuario;1;;Antioquia;Antioquia;;
205756000251;C. E. R. LLANADAS ABAJO;1;Bajo;13;0.003;OFICIAL;RURAL;2;8;2;1;0;Sonsón;2;;Antioquia;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia)
205756000421;C. E. R. EL CHIRIMOYO;1;Bajo;13;0.003;OFICIAL;RURAL;1;5;4;3;0;Sonsón;2;;Antioquia;Antioquia;;
217042000409;SEDE SUER DE NAVAS;3;Crítico;13;0.0162;OFICIAL;RURAL;2;11;0;0;0;Anserma;1;;Caldas;Caldas;;
225035000056;ESCUELA RURAL SANTA ANA;2;Moderado;13;0.0049;OFICIAL;RURAL;2;11;0;0;0;Anapoima;1;;Cundinamarca;Cundinamarca;;Fundación Alquería Cavelier
225491000165;ESCUELA RURAL BAQUERO;1;Bajo;13;0.0049;OFICIAL;RURAL;2;11;0;0;0;Nocaima;1;;Cundinamarca;Cundinamarca;;Fundación Alquería Cavelier
225649000079;ESCUELA RURAL SANTA MARTA;2;Moderado;13;0.0049;OFICIAL;RURAL;3;10;0;0;0;San Bernardo;1;;Cundinamarca;Cundinamarca;;
241001003141;TAMARINDO;2;Moderado;13;0.0193;OFICIAL;RURAL;1;12;0;0;0;Neiva;1;;Neiva;Huila;;
266001001612;CENT EDUC EL CHOCHO;3;Crítico;13;0.0168;OFICIAL;RURAL;2;11;0;0;0;Pereira;1;;Pereira;Risaralda;;
266088000323;SE LA PLANTA;2;Moderado;13;0.0293;OFICIAL;RURAL;2;11;0;0;0;Belén de Umbría;1;;Risaralda;Risaralda;;
268176000085;ESCUELA RURAL CARURE;2;Moderado;13;0.0097;OFICIAL;RURAL;1;12;0;0;0;Chima;1;;Santander;Santander;;
273870000631;EL TRIUNFO;2;Moderado;13;0.0093;OFICIAL;RURAL;0;13;0;0;0;Villahermosa;1;;Tolima;Tolima;;
276520003032;LA NEVERA;2;Moderado;13;0.0264;OFICIAL;RURAL;3;1;9;0;0;Palmira;2;;Palmira;Valle del Cauca;;
276834001034;SEDE NO. 79 PEDRO CARLOS ORTIZ LOZANO;1;Bajo;13;0.0472;OFICIAL;RURAL;0;13;0;0;0;Tuluá;1;;Tuluá;Valle del Cauca;;
276834000861;SEDE NO. 60 FRANCISCO MARIA LOZANO;2;Moderado;13;0.0472;OFICIAL;RURAL;0;13;0;0;0;Tuluá;1;;Tuluá;Valle del Cauca;;
276250000192;SAN PABLO;3;Crítico;13;0.01;OFICIAL;RURAL;0;9;4;0;0;El Dovio;1;;Valle;Valle del Cauca;;
276250000222;SANTA TERESITA;2;Moderado;13;0.01;OFICIAL;RURAL;2;8;3;0;0;El Dovio;;;Valle;Valle del Cauca;;
217013000947;ESCUELA RURAL CULEBRAL;1;Bajo;13;0.0162;;RURAL;1;12;0;0;0;Aguadas;1;;Caldas;Caldas;;
217013000432;ESCUELA ALTO DEL CARMELO;2;Moderado;13;0.0162;;RURAL;2;11;0;0;0;Aguadas;2;;Caldas;Caldas;;
217013000700;SEDE LA CASTRILLONA;2;Moderado;13;0.0162;;RURAL;2;11;0;0;0;Aguadas;1;;Caldas;Caldas;;
217042000280;MARTIN DE AMOROTO;1;Bajo;13;0.0162;;RURAL;5;8;0;0;0;Anserma;;;Caldas;Caldas;;
217433000047;ESCUELA RURAL SAN JUAN LA SIRIA;1;Bajo;13;0.0162;;RURAL;3;10;0;0;0;Manzanares;;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217444000154;ESCUELA EL ROSARIO;1;Bajo;13;0.0162;;RURAL;3;10;0;0;0;Marquetalia;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217662000425;ESCUELA RURAL CADENALES;1;Bajo;13;0.0162;;RURAL;1;12;0;0;0;Samaná;;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217614000065;ESCUELA RURAL MIXTA UBARBA;2;Moderado;13;0.0162;;RURAL;0;13;0;0;0;Riosucio;;;Caldas;Caldas;;
217616000151;ESCUELA ALTO ARAUCA;2;Moderado;13;0.0162;;RURAL;0;13;0;0;0;Risaralda;2;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217662000514;ESCUELA RURAL LA ALEJANDRÍA;1;Bajo;13;0.0162;;RURAL;1;5;7;0;0;Samaná;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217662002738;ESCUELA NUEVA PICHÍNCHE;1;Bajo;13;0.0162;;RURAL;2;11;0;0;0;Samaná;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217777000399;ESCUELA RURAL LA CLARA;2;Moderado;13;0.0162;;RURAL;1;12;0;0;0;Supía;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217867000193;ESCUELA RURAL LA GUAYANA;1;Bajo;13;0.0162;;RURAL;2;11;0;0;0;Victoria;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217873000022;ESCUELA RURAL ALTO VILLARAZO;1;Bajo;13;0.0162;;RURAL;2;11;0;0;0;Villamaría;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
217873000294;ESCUELA TRECE DE MAYO;1;Bajo;13;0.0162;;RURAL;2;11;0;0;0;Villamaría;1;;Caldas;Caldas;;Federación Nacional de Cafeteros de Colombia
223417000002;BEBE CHICHA;2;Moderado;13;0.0577;;RURAL;1;12;0;0;0;Lorica;1;;Lorica;Córdoba;;
266383000114;SE LA POLONIA;3;Crítico;12;0.027;OFICIAL;RURAL;1;11;0;0;0;La Celia;1;;Risaralda;Risaralda;SI;
273504002043;BELLAVISTA;3;Crítico;12;0.0086;OFICIAL;RURAL;4;8;0;0;0;Ortega;1;;Tolima;Tolima;SI;
205837000441;E.R. SAN PABLO TULAPA;2;Moderado;12;0.0321;OFICIAL;RURAL;0;12;0;0;0;Turbo;1;;Turbo;Antioquia;SI;Fundación Secretos Para Contar
276054000095;DOLORES SALAZAR DE LOPEZ;2;Moderado;12;0.0092;OFICIAL;RURAL;0;12;0;0;0;Argelia;1;;Valle;Valle del Cauca;SI;
241020000919;EL PEDREGAL;2;Moderado;12;0.0094;OFICIAL;RURAL;1;11;0;0;0;Algeciras;1;;Huila;Huila;SI;
254003000453;SEDE EL OROQUE;2;Moderado;12;0.0076;OFICIAL;RURAL;2;10;0;0;0;Ábrego;1;;Norte Santander;Norte de Santander;SI;
273870000215;LA LADERA;2;Moderado;12;0.0086;OFICIAL;RURAL;0;12;0;0;0;Villahermosa;1;;Tolima;Tolima;SI;
205308000177;E.R. POTRERITO;2;Moderado;12;0.0028;OFICIAL;RURAL;2;10;0;0;0;Girardota;1;;Antioquia;Antioquia;SI;Fundación Incolmotos Yamaha
205665000878;C. E. R. ANGOSTURA;2;Moderado;12;0.0028;OFICIAL;RURAL;1;11;0;0;0;San Pedro de Urabá;1;;Antioquia;Antioquia;SI;
241872000388;CUZCO;2;Moderado;12;0.0094;OFICIAL;RURAL;0;12;0;0;0;Villavieja;1;;Huila;Huila;SI;
376364002521;CENTRO EDUCATIVO ARTISTICO EL ARBOL DE LOS SUEÑOS - SEDE PRINCIPAL;1;Bajo;12;0.0434;NO OFICIAL;URBANA;12;0;0;0;0;Jamundí;;;Jamundí;Valle del Cauca;SI;
227001001714;SEDE DE GUARANDO;2;Moderado;12;0.0327;OFICIAL;RURAL;0;12;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
273270000238;PAUJIL;2;Moderado;12;0.0086;OFICIAL;RURAL;0;12;0;0;0;Palocabildo;1;;Tolima;Tolima;SI;
273270000505;LA MARIA;2;Moderado;12;0.0086;OFICIAL;RURAL;2;10;0;0;0;Palocabildo;1;;Tolima;Tolima;SI;
205837000719;E.R. LA YOYA;2;Moderado;12;0.0321;OFICIAL;RURAL;0;12;0;0;0;Turbo;2;;Turbo;Antioquia;SI;
205837001928;E.R. LA FLORIDA-COLDESA (D);2;Moderado;12;0.0321;OFICIAL;RURAL;2;10;0;0;0;Turbo;1;;Turbo;Antioquia;SI;
227077001853;SEDE FRANCISCO MIRANDA;1;Bajo;12;0.0105;OFICIAL;RURAL;3;9;0;0;0;Bajo Baudó;1;;Choco;Chocó;SI;
227001001854;SEDE DIEGO LUIS CORDOBA;1;Bajo;12;0.0327;OFICIAL;RURAL;3;9;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
227001003521;SEDE BOCA DE PURDU;1;Bajo;12;0.0327;OFICIAL;RURAL;2;10;0;0;0;Quibdó;1;;Quibdó;Chocó;SI;
273319000417;TOVAR;1;Bajo;12;0.0086;OFICIAL;RURAL;2;10;0;0;0;Guamo;2;;Tolima;Tolima;SI;
273563000101;ACO;1;Bajo;12;0.0086;OFICIAL;RURAL;3;9;0;0;0;Prado;1;;Tolima;Tolima;SI;
